Acceleration_MPerS2_1X;Acceleration_MPerS2_1Y;Acceleration_MPerS2_1Z;Acceleration_MPerS2_2X;Acceleration_MPerS2_2Y;Acceleration_MPerS2_2Z
-0,37;5,49;-7,35;1,89;8,24;4,7
1,65;3,73;-2,35;1,27;12,8;-2,6
-1,81;3,85;-2,34;2,51;11,7;-0,79
-0,91;4,95;-7,91;-1,51;3,82;-0,91
2,1;5,78;-11,71;-8,43;13,17;-4
-1,72;6,37;-9,78;-1,42;17,22;4,52
-2,35;5,09;-7,62;3,86;11,86;-0,46
-0,06;7,48;-8,88;2,46;4,68;-1,32
0,76;9,15;-8,49;-0,35;4,17;2,94
0,97;4;-6,62;-4,15;15,47;-2,01
-1,07;3,38;-8,22;0,02;13,01;4,22
0,78;4,44;-6,92;2,44;8,74;1
1,18;3,02;-1,51;1,49;13,74;-4,55
-2,85;4,4;-2,93;2,09;5,56;1,09
0,23;3,87;-10,07;-5,12;5,03;-4,45
1,91;4,88;-13,05;-6,24;15,96;-0,65
-2,04;5,71;-9,03;2,3;14,94;3,38
-1,48;4,93;-7,71;3,53;8,13;-3,85
0,21;8,7;-11,33;1,34;1,29;1,2
1,32;7,95;-9,28;-1,52;7,52;0,38
0,86;4,5;-7,59;-2,43;15,95;-0,92
-1,13;5,37;-9,9;1,72;8,19;3,85
1,43;4,85;-6,06;2,56;10,59;-2,91
0,79;3,43;-1,43;2,78;10,89;-2,26
-2,49;3,69;-4,55;0,44;0,39;-1,06
1,03;4,62;-10,6;-6,05;9,14;-4,58
0,91;5,24;-12,1;-2,63;17,05;2,46
-2,44;4,85;-9,26;4,04;11,73;-0,11
-0,52;4,73;-8,5;3,66;3,8;-2,97
0,58;7,66;-10,11;0,12;0,03;2,73
1,21;6,72;-9,16;-3,22;12,3;-1,6
0,43;2,72;-8,83;0,41;13,84;0,93
-1,11;5,8;-10,44;3,12;6,24;2,98
1,58;4,69;-5,97;1,95;12,27;-4,22
-0,07;1,86;-2,47;3,39;6,17;-0,88
-2,75;5,61;-7,22;-2,78;1,72;-2,86
0,57;5,9;-11,44;-5,82;14,76;-3,06
-0,24;6,63;-12,01;1,88;16,24;4,08
-2,71;5,94;-9,14;4,1;9,03;-2,88
-1,03;6,08;-9,19;2,42;1,65;-1,04
0,22;10,22;-10,87;-2,54;4,87;2,58
1,01;6,48;-7,18;-4,1;16,9;-2,29
-0,1;4,68;-8,86;2,65;10,58;4,34
-0,68;5,64;-9,5;2,04;8,76;0,2
1,31;2,66;-2,91;1,52;13,66;-3,73
-1,11;4,09;-2,12;1,76;3,18;0,65
-2,42;5,31;-5,48;-6,39;7,51;-5,28
0,73;5,67;-10,15;-4,48;18,31;1,55
-1,08;6,84;-10,46;3,57;14,72;2,88
-3,22;6,06;-6,97;3,2;7,68;-4,62
-1,43;7,2;-9,55;0,17;1,84;3,24
0,39;8,55;-9,62;-3,81;12,37;-0,08
1,29;6,32;-7,02;-2,17;17,12;-0,4
-0,93;4,45;-8,96;2,45;8,28;5,37
-0,26;5,27;-9,11;1,67;15,09;-2,89
2,18;3,49;-4,28;2,46;11,02;-0,98
-1,66;2,85;-1,6;-2,04;1,75;-0,57
-1,5;5,04;-6,61;-7,9;14;-3,04
1,99;5,62;-10,62;-0,82;18,02;3,73
-1,11;6,73;-8,82;3,53;11,66;-0,94
-2,58;5,13;-7,23;2,2;4,9;-0,95
-0,37;6,65;-7,98;0;3,2;3,63
